url,label,time_cnn_ms,time_rf_ms
prestamosprivados.com,0,0.47,2.04
segardmasurel.com,0,0.31,0.99
git-itpark32.ru,0,1.05,1.17
tallentex.com,0,0.28,0.84
lastresistance.com,0,0.27,0.84
i05b.com,0,0.25,1.08
ydfik8up.xyz,0,0.25,0.93
hqd.com,0,0.67,0.65
bonus-bux.ru,0,0.4,0.62
elistas.net,0,0.25,0.99
hottubs4less.co.uk,0,0.24,0.99
eckartsupply.com,0,0.22,0.81
fumeesmokeshop.com,0,0.23,0.65
nbreview.com,0,0.21,0.6
univqi07dr.com,0,0.21,0.83
gilmorebuildingco.com,0,0.24,0.69
thefoureyed.shop,0,0.21,0.61
midamericapetfood.com,0,0.22,0.61
knowexperts.com,0,0.22,0.89
foreclosuredatabank.com,0,0.2,0.69
gstvfan.jp,0,0.22,0.55
spyderserver2.com,0,0.22,0.78
starmedtec.com,0,0.32,0.57
internationalwholesaletile.com,0,0.27,0.8
casafirma.gr,0,0.25,0.03
pissende-teens.com,1,0.22,0.9
sexy-girl-9.skyblog.com,1,0.25,0.93
fetish-planet.org,1,0.24,0.79
sexy18.com,1,0.26,0.93
sexxfreakz.tumblr.com,1,0.26,0.88
sex-find24.de,1,0.24,0.91
shemale-loves-pussy.aljansstroy.ru,1,0.25,0.9
kittenstoyroom-sex-fetish-review.blogspot.com,1,0.28,0.71
livecams-sexvideos.de,1,0.27,0.8
shemale-canada.com,1,0.24,0.68
joingrupxxhotviral69.000webhostapp.com,1,0.26,1
fuckthe-sex.tumblr.com,1,0.2,0.84
farm-animal-sex.com,1,0.2,0.87
teens-hardcore-sex-pictures.com,1,0.21,0.88
infirmiere-devouee-du-sexe.com,1,0.21,0.75
sex-4-you.com,1,0.19,0.8
porno-bizrr.com,1,0.2,0.74
3pixxl.free.fr,1,0.19,0.85
pornstar.thehappygirls.com,1,0.21,0.86
sex-geschichtenx.blogspot.com,1,0.21,0.87
fetish-dating.net,1,0.26,0.84
sexstories.canalblog.com,1,0.27,0.82
porno.uru.com,1,0.22,0.75
fetish-total.de,1,0.21,0.76
free-hardcore-sex-pictures-blowjobs.com,1,0.24,0.86
