url;label;CNN_inference_time_ms;RF_inference_time_ms
gay-porn-xxx.com;1;0,1781;13,887
porno-sex-blog.com;1;0,1438;13,63
fucked-n-used.tumblr.com;1;0,1868;12,373
movie-porn-rated-xxx.blogspot.com;1;0,1594;12,129
sexyadultwhatsappinviet.xxuz.com;1;0,1408;11,906
porno-fotok.net;1;0,1355;11,888
voyeur2q.com;1;0,1408;11,84
asian-porn-tube.blogspot.com;1;0,1506;11,776
1sexy.com;1;0,1375;11,757
exclamate-1-free-ebony-sex-nude-black-pussy-pictures.com;1;0,1602;11,639
sex-cums-porn.blogspot.com;1;0,142;11,611
porno-plus.com;1;0,1504;11,516
kisah-seks-melayu.blogspot.com;1;0,1885;11,515
anal22.com;1;0,1414;11,458
queen-of-bdsm-magic.tv;1;0,1433;11,454
sex4sex4sex.com;1;0,1362;11,232
xxx.n3.net;1;0,1385;11,228
turk-travesti.blogspot.com;1;0,1499;11,195
sex7.com;1;0,1467;11,153
sandiegoescortsxx.com;1;0,1672;11,09
rape-links9.narod.ru;1;0,1354;11,056
av369.net;1;0,1308;11,055
casada_no_cio28.blogger.com.br;1;0,1779;11,016
webcam-sex-plein.nl;1;0,1482;10,982
bokep-indoonline.blogspot.com;1;0,1905;10,953
xxxxxx6x.tumblr.com;1;0,1397;10,94
bahama-club-sex-videos-gratis-ohne-anmeldung.pages.dev;1;0,1511;10,923
sex-video-photo.skyblog.com;1;0,1424;10,887
nude-wives-and-girlfriends-naked.tumblr.com;1;0,1923;10,871
nude-teen-muschis.com;1;0,1424;10,87
top100pornstars.com;1;0,1388;10,868
gay6.tumblr.com;1;0,1402;10,831
pornvideos-xxx.com;1;0,1399;10,806
oral-sex-orgy.com;1;0,1389;10,785
black-stockings-and-pantyhose.tumblr.com;1;0,1454;10,76
sexcam-fotzen.telefon6cam.xyz;1;0,1406;10,738
dick-in-yo-face.tumblr.com;1;0,1439;10,732
freesites-sex.com;1;0,1416;10,719
all-things-beautiful-and-sexy.tumblr.com;1;0,1433;10,717
diary-of-a-horny-slut.blogspot.com;1;0,1894;10,706
join-grup-bokep-21.000webhostapp.com;1;0,1906;10,699
selbstbefriedigung-frau-geschichte-harte-sex-video.pages.dev;1;0,1583;10,689
sexy-things-i-like-to-see.tumblr.com;1;0,1443;10,64
gay026.tumblr.com;1;0,1364;10,619
jock2pervert.tumblr.com;1;0,153;10,598
erotik420.de;1;0,1446;10,581
